"source_id","source_type","name","urls","ecosystem","historical_hits","false_positives","average_lead_time","typical_category","confidence","notes"
"SRC_BINANCE_CZ","person_founder","CZ / Binance founder","https://x.com/cz_binance | https://ourcryptotalk.com/news/cz-memoir-freedom-of-money-release","BNB Chain / Binance","CZ BNB; CS; CZ-name cluster","generic CZ tokens without event","minutes to days","founder narrative; exchange rivalry; book/post/AMA","medium","强源但噪声极高，必须要求原帖与事件。"
"SRC_STAR_OKX","person_founder","Star Xu / OKX founder","https://www.ccn.com/news/crypto/binance-founder-czs-memoir-revives-okx-founder-forgery-claim/","CEX rivalry","CS","late OKX/Binance copycats","minutes to hours","founder conflict","medium","更适合作为争议升级/放大源，而不是单独买入依据。"
"SRC_BINANCE_OFFICIAL","official_account","Binance official / product announcements","https://www.theblock.co/post/403155/binance-adds-us-stocks-etfs-traders-outside-united-states-super-app-push","Binance / BNB Chain","Dinance; Binance Trade Stock","brand parody tokens","minutes to hours","official tweet; product launch; campaign theme","medium","要区分官方原帖、support公告、媒体复述和社区二创。"
"SRC_TRUST_WALLET","project","Trust Wallet Agent Kit","https://trustwallet.com/blog/announcements/introducing-the-trust-wallet-agent-kit-twak-your-ai-agent-can-now-act-on-crypto","BNB Chain / wallet / AI agent","AI agent category amplifier","unrelated AI meme tokens","days","agent infrastructure; autonomous trading","high","本次作为类别验证源，不直接证明FFAI来源。"
"SRC_BNB_CHAIN","official_account","BNB Chain developer ecosystem","https://www.bnbchain.org/en/blog/build-and-compete-for-36-000-in-bnb-hack-ai-trading-agents-by-bnb-chain-coinmarketcap-and-trust-wallet","BNB Chain","AI trading agent stack","hackathon-only noise","days to weeks","developer programs; agent economy","high","适合做中长期主题库，不适合单独秒买。"
"SRC_TENCENT_MARVIS","company_project","Tencent Marvis","https://finance.sina.com.cn/jjxw/2026-05-21/doc-inhyrvzm6386190.shtml | https://marvis.qq.com","China AI / consumer agent","马维斯","same-name copycats after media cycle","2-4 days in this sample","company AI product","medium","买入早于正式报道，说明要监控产品库、内测表、官网变化。"
"SRC_CCTV_AI_QITAN","media_ip","CCTV AI Qitan / 流金谷恩仇录","https://cj.sina.com.cn/articles/view/3215951873/bfaf880104002jt80?froms=ggmp","China media IP / AI video","流金谷恩仇录","late title copycats","same day","AI short video; cultural IP","medium","官媒IP爆火适合监控标题同名token与短视频点赞速度。"
"SRC_MOONSHOT","company_project","Moonshot AI / Kimi","https://www.moonshot.ai/","AI model company","月之暗面","generic AI tokens","days","model release; agent/coding model","high","官方源清晰，但本样本买入偏后，需要成交确认。"
"SRC_BIBILABU","community_meme","比比拉布 / Chinese short-video meme","https://k.sina.com.cn/article_7857201856_1d45362c001904p0wg.html | https://www.geckoterminal.com/bsc/pools/0x997f190a869e67eaf413bcf573f709ed672d0012","Douyin / Bilibili / meme","比比拉布","many audio/meme forks","unknown","short-video sound meme","low","网页资料多为后验解释，必须补平台内原始热度数据。"
"SRC_NVIDIA_HUANG","person_company","Jensen Huang / Nvidia ecosystem","https://www.livemint.com/market/stock-market-news/fomo-is-fueling-the-ai-stock-frenzy-marvell-s-spike-is-just-the-latest-sign-11780448756665.html","US equities / AI infrastructure","MRVL offchain analogue","overhyped supplier names","same day","supply-chain endorsement; chokepoint company","medium","链外同构源，用于训练人物/公司动态如何映射到BSC token化。"
"SRC_FOURMEME_DEPLOY","platform","Four.meme launchpad and deployers","local data: four_meme_trade_events_raw.csv","BSC / Four.meme","all tokenization events","honeypot/copycat clusters","seconds to minutes","token deployment; pool creation","high","这是执行层，不是叙事源；必须与source library交叉。"
